Mesh,Draco,VPCC
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
45.46,55.93,68.36
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
45.46,55.93,68.36
42.38,53.56,66.61
45.46,55.93,68.36
42.38,53.56,66.61
45.46,55.93,68.36
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
45.46,55.93,68.36
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
15,15,20
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
42.38,53.56,66.61
15,15,20
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
15,15,20
42.38,53.56,66.61
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
42.38,53.56,66.61
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
42.38,53.56,66.61
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
15,15,20
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
42.38,53.56,66.61
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
42.38,53.56,66.61
42.38,53.56,66.61
42.38,53.56,66.61
15,15,20
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
