Mesh,Draco,VPCC
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
45.46,55.93,68.36
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
45.46,55.93,68.36
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
45.46,55.93,68.36
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
45.46,55.93,68.36
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
42.38,53.56,66.61
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
42.38,53.56,66.61
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
45.46,55.93,68.36
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
45.46,55.93,68.36
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
45.46,55.93,68.36
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
15,15,20
48.59,59.08,69.6
51.51,61.39,70.81
48.59,59.08,69.6
45.46,55.93,68.36
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
45.46,55.93,68.36
51.51,61.39,70.81
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
45.46,55.93,68.36
45.46,55.93,68.36
45.46,55.93,68.36
42.38,53.56,66.61
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
48.59,59.08,69.6
48.59,59.08,69.6
51.51,61.39,70.81
51.51,61.39,70.81
